SRX	NAME	SPECIES
SRR6364199	Pla_SM	plat
SRR6364201	Pla_Fld	plat
SRR6364204	Pla_Flo	plat
SRR6364197	Pla_Olm	plat
SRR6364203	Pla_Cha	plat
SRR5297354	Pla_Tam	plat
SRR8785608	Pla_Flo1	plat
SRR8785609	Pla_Flo1	plat
SRR8785612	Pla_Flo1	plat
SRR8785613	Pla_Flo1	plat
SRR8785630	Pla_Flo2	plat
SRR8785715	Pla_Flo2	plat
SRR8785716	Pla_Flo2	plat
SRR8785719	Pla_Flo2	plat
SRR8785482	Pla_Flo3	plat
SRR8785530	Pla_Flo3	plat
SRR8785558	Pla_Flo3	plat
SRR8785559	Pla_Flo3	plat
SRR8785560	Pla_Flo4	plat
SRR8785571	Pla_Flo4	plat
SRR8785804	Pla_Flo4	plat
SRR8785805	Pla_Flo4	plat
SRR8785550	Pla_Flo5	plat
SRR8785551	Pla_Flo5	plat
SRR8785552	Pla_Flo5	plat
SRR8785553	Pla_Flo5	plat
SRR8785481	Pla_Flo6	plat
SRR8785483	Pla_Flo6	plat
SRR8785484	Pla_Flo6	plat
SRR8785485	Pla_Flo6	plat
SRR20897184	Pla_Flo0	plat
SRR1997779	Pfo_Tan-1	pfor
SRR1997775	Pfo_Tan-2	pfor
SRR1997780	Pfo_Tan-3	pfor
SRR1997782	Pfo_Tan-4	pfor
SRR1997778	Pfo_Vic-1	pfor
SRR1999418	Pfo_Cha	pfor
SRR2014292	Pfo_Gua	pfor
SRR1997537	Pfo_Bar-2	pfor
SRR1997466	Pfo_D1	pfor
SRR1997528	Pfo_D1	pfor
SRR1997533	Pfo_D1	pfor
SRR1997457	Pfo_Olm	pfor
SRR1997522	Pfo_Olm	pfor
SRR1999284	Pfo_Olm	pfor
SRR1997525	Pfo_Bar-3	pfor
SRR1997532	Pfo_Bar-3	pfor
SRR1999287	Pfo_Bar-3	pfor
SRR1997464	Pfo_Br	pfor
SRR1997530	Pfo_Br	pfor
SRR1999286	Pfo_Br	pfor
SRR1997518	Pfo_SM	pfor
SRR1999251	Pfo_SM	pfor
SRR1999282	Pfo_SM	pfor
SRR1997458	Pfo_nBr-1	pfor
SRR1997529	Pfo_nBr-1	pfor
SRR1999288	Pfo_nBr-1	pfor
SRR1997521	Pfo_Vic-2	pfor
SRR1997523	Pfo_Vic-2	pfor
SRR1999290	Pfo_Vic-2	pfor
SRR1997526	Pfo_nBr-2	pfor
SRR1997535	Pfo_nBr-2	pfor
SRR1999387	Pfo_nBr-2	pfor
SRR1997459	Pfo_Lim	pfor
SRR1997527	Pfo_Lim	pfor
SRR1999283	Pfo_Lim	pfor
SRR1997456	Pfo_Pad	pfor
SRR1997519	Pfo_Pad	pfor
SRR1999285	Pfo_Pad	pfor
SRR1997531	Pfo_Man	pfor
SRR1997536	Pfo_Man	pfor
SRR1999289	Pfo_Man	pfor
SRR6364198	Pme_Cav	pmex
SRR6364207	Pme_Azu	pmex
SRR6364205	Pme_Gua	pmex
SRR6364202	Pme_Ver	pmex
SRR5297333	Pme_Cha	pmex
SRR7225851	Pme_Pic1	pmex
SRR7225852	Pme_Puy	pmex
SRR7225853	Pme_Tac	pmex
SRR7225858	Pme_Ixt	pmex
SRR7225859	Pme_Pic2	pmex
SRR33613181	Pme_sul	pmex
