ID	Description	GeneRatio	BgRatio	RichFactor	FoldEnrichment	zScore	pvalue	p.adjust	qvalue	geneID	Count
GO:0042803	protein homodimerization activity	2/46	38/18556	0.0526315789473684	21.2311212814645	6.22330230382099	0.00399311365429261	0.194524498494568	0.158748555838264	gpd1/mcl1b	2
GO:0019901	protein kinase binding	3/46	168/18556	0.0178571428571429	7.20341614906832	4.02647025751903	0.00832025928261761	0.194524498494568	0.158748555838264	LOC103143092/ywhag1/LOC103138244	3
GO:0042802	identical protein binding	2/46	57/18556	0.0350877192982456	14.1540808543097	4.9582679690146	0.0087988778102854	0.194524498494568	0.158748555838264	gpd1/mcl1b	2
GO:0019900	kinase binding	3/46	184/18556	0.016304347826087	6.57703213610586	3.79000712082166	0.0106516896883754	0.194524498494568	0.158748555838264	LOC103143092/ywhag1/LOC103138244	3
GO:0019904	protein domain specific binding	2/46	81/18556	0.0246913580246914	9.96027911969941	4.02882135278543	0.0172037944168461	0.194524498494568	0.158748555838264	LOC103143142/zmp:0000000930	2
GO:0008307	structural constituent of muscle	1/46	11/18556	0.0909090909090909	36.6719367588933	5.89950806203324	0.0269404849255431	0.194524498494568	0.158748555838264	zmp:0000000930	1
GO:0001784	phosphotyrosine residue binding	1/46	12/18556	0.0833333333333333	33.6159420289855	5.63410616242787	0.0293541132724522	0.194524498494568	0.158748555838264	zgc:158464	1
GO:0003688	DNA replication origin binding	1/46	12/18556	0.0833333333333333	33.6159420289855	5.63410616242787	0.0293541132724522	0.194524498494568	0.158748555838264	cdc45	1
GO:0005080	protein kinase C binding	1/46	12/18556	0.0833333333333333	33.6159420289855	5.63410616242787	0.0293541132724522	0.194524498494568	0.158748555838264	ywhag1	1
GO:0008641	ubiquitin-like modifier activating enzyme activity	1/46	13/18556	0.0769230769230769	31.0301003344482	5.39938935573864	0.0317618845617894	0.194524498494568	0.158748555838264	atg7	1
GO:0016868	intramolecular phosphotransferase activity	1/46	13/18556	0.0769230769230769	31.0301003344482	5.39938935573864	0.0317618845617894	0.194524498494568	0.158748555838264	pmm2	1
GO:0050291	sphingosine N-acyltransferase activity	1/46	13/18556	0.0769230769230769	31.0301003344482	5.39938935573864	0.0317618845617894	0.194524498494568	0.158748555838264	cers5	1
GO:0017080	sodium channel regulator activity	1/46	15/18556	0.0666666666666667	26.8927536231884	5.00107626305101	0.0365599115275004	0.194524498494568	0.158748555838264	fxyd6	1
GO:0000149	SNARE binding	2/46	124/18556	0.0161290322580645	6.50631136044881	3.06684313479119	0.0378711801513538	0.194524498494568	0.158748555838264	syt6a/stx17	2
GO:0045309	protein phosphorylated amino acid binding	1/46	17/18556	0.0588235294117647	23.7289002557545	4.67375472312523	0.0413346766203163	0.194524498494568	0.158748555838264	zgc:158464	1
GO:0050308	sugar-phosphatase activity	1/46	17/18556	0.0588235294117647	23.7289002557545	4.67375472312523	0.0413346766203163	0.194524498494568	0.158748555838264	LOC103135452	1
GO:0051219	phosphoprotein binding	1/46	17/18556	0.0588235294117647	23.7289002557545	4.67375472312523	0.0413346766203163	0.194524498494568	0.158748555838264	zgc:158464	1
GO:0140103	catalytic activity, acting on a glycoprotein	1/46	17/18556	0.0588235294117647	23.7289002557545	4.67375472312523	0.0413346766203163	0.194524498494568	0.158748555838264	gcnt1	1
GO:0019203	carbohydrate phosphatase activity	1/46	18/18556	0.0555555555555556	22.4106280193237	4.53044023594141	0.0437133704482175	0.194524498494568	0.158748555838264	LOC103135452	1
GO:0043495	protein-membrane adaptor activity	1/46	18/18556	0.0555555555555556	22.4106280193237	4.53044023594141	0.0437133704482175	0.194524498494568	0.158748555838264	sun1b	1
GO:0016791	phosphatase activity	3/46	343/18556	0.0087463556851312	3.5282038281151	2.35599620530435	0.0530373299643754	0.222628868070719	0.181684114688109	plpp5/LOC103135452/mtmr7b	3
GO:0001786	phosphatidylserine binding	1/46	23/18556	0.0434782608695652	17.538752362949	3.95639810741086	0.0555205009514407	0.222628868070719	0.181684114688109	syt6a	1
GO:0017124	SH3 domain binding	1/46	24/18556	0.0416666666666667	16.8079710144928	3.86301853408548	0.0578647548205519	0.222628868070719	0.181684114688109	LOC103143142	1
GO:0008195	phosphatidate phosphatase activity	1/46	26/18556	0.0384615384615385	15.5150501672241	3.69210200635659	0.0625361988962694	0.222628868070719	0.181684114688109	plpp5	1
GO:0042162	telomeric DNA binding	1/46	26/18556	0.0384615384615385	15.5150501672241	3.69210200635659	0.0625361988962694	0.222628868070719	0.181684114688109	smg6	1
GO:0016866	intramolecular transferase activity	1/46	30/18556	0.0333333333333333	13.4463768115942	3.40109629562612	0.0718112097498506	0.223954463794992	0.182765913682489	pmm2	1
GO:0072341	modified amino acid binding	1/46	30/18556	0.0333333333333333	13.4463768115942	3.40109629562612	0.0718112097498506	0.223954463794992	0.182765913682489	syt6a	1
GO:0015485	cholesterol binding	1/46	31/18556	0.032258064516129	13.0126227208976	3.33691974592566	0.0741158996101285	0.223954463794992	0.182765913682489	osbpl1a	1
GO:0042289	MHC class II protein binding	1/46	32/18556	0.03125	12.6059782608696	3.27563529172171	0.0764149910334985	0.223954463794992	0.182765913682489	LOC103138244	1
GO:0060590	ATPase regulator activity	1/46	32/18556	0.03125	12.6059782608696	3.27563529172171	0.0764149910334985	0.223954463794992	0.182765913682489	bag1	1
GO:0043539	protein serine/threonine kinase activator activity	1/46	33/18556	0.0303030303030303	12.2239789196311	3.21702425070704	0.0787084973179114	0.223954463794992	0.182765913682489	cab39	1
GO:0042287	MHC protein binding	1/46	35/18556	0.0285714285714286	11.5254658385093	3.1070576978688	0.0832788075073813	0.223954463794992	0.182765913682489	LOC103138244	1
GO:0042577	lipid phosphatase activity	1/46	35/18556	0.0285714285714286	11.5254658385093	3.1070576978688	0.0832788075073813	0.223954463794992	0.182765913682489	plpp5	1
GO:0004715	non-membrane spanning protein tyrosine kinase activity	1/46	36/18556	0.0277777777777778	11.2053140096618	3.05536653240894	0.0855556378542665	0.223954463794992	0.182765913682489	abl2	1
GO:0016877	ligase activity, forming carbon-sulfur bonds	1/46	40/18556	0.025	10.0847826086957	2.86732641005311	0.0946077679806063	0.227628613123265	0.185764332412836	atg7	1
GO:0008375	acetylglucosaminyltransferase activity	1/46	41/18556	0.024390243902439	9.83881230116649	2.82442578343772	0.0968570681897712	0.227628613123265	0.185764332412836	gcnt1	1
GO:0008017	microtubule binding	2/46	219/18556	0.0091324200913242	3.68393885249156	1.99175867744069	0.102431719450841	0.227628613123265	0.185764332412836	ccser2b/LOC103156431	2
GO:0042578	phosphoric ester hydrolase activity	3/46	455/18556	0.00659340659340659	2.65972288580984	1.78688326894365	0.10278964058181	0.227628613123265	0.185764332412836	plpp5/LOC103135452/mtmr7b	3
GO:0003950	NAD+-protein poly-ADP-ribosyltransferase activity	1/46	45/18556	0.0222222222222222	8.96425120772947	2.66650530679007	0.105799730417313	0.227628613123265	0.185764332412836	parp2	1
GO:1990404	NAD+-protein ADP-ribosyltransferase activity	1/46	45/18556	0.0222222222222222	8.96425120772947	2.66650530679007	0.105799730417313	0.227628613123265	0.185764332412836	parp2	1
GO:0030674	protein-macromolecule adaptor activity	3/46	464/18556	0.00646551724137931	2.60813343328336	1.74881539439375	0.107398897973012	0.227628613123265	0.185764332412836	sun1b/zmp:0000000930/stx17	3
GO:0032934	sterol binding	1/46	46/18556	0.0217391304347826	8.76937618147448	2.63007444875619	0.108021826057787	0.227628613123265	0.185764332412836	osbpl1a	1
GO:0005201	extracellular matrix structural constituent	1/46	49/18556	0.0204081632653061	8.23247559893523	2.52710443794634	0.11465575125362	0.227628613123265	0.185764332412836	col27a1b	1
GO:0043178	alcohol binding	1/46	51/18556	0.0196078431372549	7.90963341858482	2.46321168556751	0.119051527995382	0.227628613123265	0.185764332412836	osbpl1a	1
GO:0005484	SNAP receptor activity	1/46	52/18556	0.0192307692307692	7.75752508361204	2.43255525630761	0.121241402608309	0.227628613123265	0.185764332412836	stx17	1
GO:0051287	NAD binding	1/46	52/18556	0.0192307692307692	7.75752508361204	2.43255525630761	0.121241402608309	0.227628613123265	0.185764332412836	gpd1	1
GO:0019209	kinase activator activity	1/46	55/18556	0.0181818181818182	7.33438735177866	2.34527916943251	0.12777912365099	0.227628613123265	0.185764332412836	cab39	1
GO:0030295	protein kinase activator activity	1/46	55/18556	0.0181818181818182	7.33438735177866	2.34527916943251	0.12777912365099	0.227628613123265	0.185764332412836	cab39	1
GO:0015631	tubulin binding	2/46	255/18556	0.00784313725490196	3.16385336743393	1.73446960317054	0.131567919556661	0.227628613123265	0.185764332412836	ccser2b/LOC103156431	2
GO:0030276	clathrin binding	1/46	59/18556	0.0169491525423729	6.83714075165807	2.23862685315324	0.136422116060095	0.227628613123265	0.185764332412836	syt6a	1
GO:0019905	syntaxin binding	1/46	60/18556	0.0166666666666667	6.7231884057971	2.21350723392551	0.138569739061729	0.227628613123265	0.185764332412836	syt6a	1
GO:0051087	protein-folding chaperone binding	1/46	60/18556	0.0166666666666667	6.7231884057971	2.21350723392551	0.138569739061729	0.227628613123265	0.185764332412836	bag1	1
GO:0005496	steroid binding	1/46	61/18556	0.0163934426229508	6.61297220242338	2.18895496663063	0.140712136985776	0.227628613123265	0.185764332412836	osbpl1a	1
GO:0005544	calcium-dependent phospholipid binding	1/46	61/18556	0.0163934426229508	6.61297220242338	2.18895496663063	0.140712136985776	0.227628613123265	0.185764332412836	syt6a	1
GO:1990782	protein tyrosine kinase binding	1/46	64/18556	0.015625	6.30298913043478	2.11848292220725	0.147108104453652	0.227628613123265	0.185764332412836	LOC103138244	1
GO:0001216	DNA-binding transcription activator activity	1/46	65/18556	0.0153846153846154	6.20602006688963	2.09598660393723	0.149229726084364	0.227628613123265	0.185764332412836	grhl1	1
GO:0001228	DNA-binding transcription activator activity, RNA polymerase II-specific	1/46	65/18556	0.0153846153846154	6.20602006688963	2.09598660393723	0.149229726084364	0.227628613123265	0.185764332412836	grhl1	1
GO:0099106	ion channel regulator activity	1/46	65/18556	0.0153846153846154	6.20602006688963	2.09598660393723	0.149229726084364	0.227628613123265	0.185764332412836	fxyd6	1
GO:0003697	single-stranded DNA binding	1/46	66/18556	0.0151515151515152	6.11198945981555	2.07395652204288	0.151346184501979	0.227628613123265	0.185764332412836	cdc45	1
GO:0005178	integrin binding	1/46	67/18556	0.0149253731343284	6.02076573653472	2.05237555859029	0.153457491993212	0.227628613123265	0.185764332412836	itga3b	1
GO:0016410	N-acyltransferase activity	1/46	76/18556	0.0131578947368421	5.30778032036613	1.8759253249573	0.172229480941773	0.249122864945994	0.203305472279995	cers5	1
GO:0016247	channel regulator activity	1/46	78/18556	0.0128205128205128	5.17168338907469	1.84050645901763	0.176345398781995	0.249122864945994	0.203305472279995	fxyd6	1
GO:0141108	transporter regulator activity	1/46	78/18556	0.0128205128205128	5.17168338907469	1.84050645901763	0.176345398781995	0.249122864945994	0.203305472279995	fxyd6	1
GO:0016763	pentosyltransferase activity	1/46	82/18556	0.0121951219512195	4.91940615058324	1.77318035926488	0.184517261275838	0.256594316461712	0.209402812961066	parp2	1
