SRX	NAME	SPECIES
SRR26170179	Pvel	pvel
SRR6364199	Pla_SM	plat
SRR6364201	Pla_Fld	plat
SRR6364204	Pla_Flo	plat
SRR6364197	Pla_Olm	plat
SRR6364203	Pla_Cha	plat
SRR1997779	Pfo_Tan-1	pfor
SRR1997775	Pfo_Tan-2	pfor
SRR1997780	Pfo_Tan-3	pfor
SRR1997782	Pfo_Tan-4	pfor
SRR1997778	Pfo_Vic-1	pfor
SRR1999418	Pfo_Cha	pfor
SRR2014292	Pfo_Gua	pfor
SRR1997537	Pfo_Bar-2	pfor
SRR1997466	Pfo_D1	pfor
SRR1997528	Pfo_D1	pfor
SRR1997533	Pfo_D1	pfor
SRR1997457	Pfo_Olm	pfor
SRR1997522	Pfo_Olm	pfor
SRR1999284	Pfo_Olm	pfor
SRR1997525	Pfo_Bar-3	pfor
SRR1997532	Pfo_Bar-3	pfor
SRR1999287	Pfo_Bar-3	pfor
SRR1997464	Pfo_Br	pfor
SRR1997530	Pfo_Br	pfor
SRR1999286	Pfo_Br	pfor
SRR1997518	Pfo_SM	pfor
SRR1999251	Pfo_SM	pfor
SRR1999282	Pfo_SM	pfor
SRR1997458	Pfo_nBr-1	pfor
SRR1997529	Pfo_nBr-1	pfor
SRR1999288	Pfo_nBr-1	pfor
SRR1997521	Pfo_Vic-2	pfor
SRR1997523	Pfo_Vic-2	pfor
SRR1999290	Pfo_Vic-2	pfor
SRR1997526	Pfo_nBr-2	pfor
SRR1997535	Pfo_nBr-2	pfor
SRR1999387	Pfo_nBr-2	pfor
SRR1997459	Pfo_Lim	pfor
SRR1997527	Pfo_Lim	pfor
SRR1999283	Pfo_Lim	pfor
SRR1997456	Pfo_Pad	pfor
SRR1997519	Pfo_Pad	pfor
SRR1999285	Pfo_Pad	pfor
SRR1997531	Pfo_Man	pfor
SRR1997536	Pfo_Man	pfor
SRR1999289	Pfo_Man	pfor
SRR6364198	Pme_Cav	pmex
SRR6364207	Pme_Azu	pmex
SRR6364205	Pme_Gua	pmex
SRR6364202	Pme_Ver	pmex
ERR4077388	Pgil	pgil
