SAMP	POP
Pla_SM	pop0
Pla_Olm	pop0
Pla_Cha	pop0
Pla_Tam	pop0
Pfo_Tan-1_hapLat	pop1
Pfo_Tan-2_hapLat	pop1
Pfo_Tan-3_hapLat	pop1
Pfo_Tan-4_hapLat	pop1
Pfo_Vic-1_hapLat	pop1
Pfo_Cha_hapLat	pop1
Pfo_Gua_hapLat	pop1
Pfo_Bar-2_hapLat	pop1
Pfo_D1_hapLat	pop1
Pfo_Olm_hapLat	pop1
Pfo_Bar-3_hapLat	pop1
Pfo_Br_hapLat	pop1
Pfo_SM_hapLat	pop1
Pfo_nBr-1_hapLat	pop1
Pfo_Vic-2_hapLat	pop1
Pfo_nBr-2_hapLat	pop1
Pfo_Lim_hapLat	pop1
Pfo_Pad_hapLat	pop1
Pfo_Man_hapLat	pop1
Pfo_Tan-1_hapMex	pop2
Pfo_Tan-2_hapMex	pop2
Pfo_Tan-3_hapMex	pop2
Pfo_Tan-4_hapMex	pop2
Pfo_Vic-1_hapMex	pop2
Pfo_Cha_hapMex	pop2
Pfo_Gua_hapMex	pop2
Pfo_Bar-2_hapMex	pop2
Pfo_D1_hapMex	pop2
Pfo_Olm_hapMex	pop2
Pfo_Bar-3_hapMex	pop2
Pfo_Br_hapMex	pop2
Pfo_SM_hapMex	pop2
Pfo_nBr-1_hapMex	pop2
Pfo_Vic-2_hapMex	pop2
Pfo_nBr-2_hapMex	pop2
Pfo_Lim_hapMex	pop2
Pfo_Pad_hapMex	pop2
Pfo_Man_hapMex	pop2
Pme_Gua	pop3
Pme_Cha	pop3
