chr	start	end	group	nSNPS	samps
chr22	157515	157517	2	1	NA
chr22	249441	249443	3	1	NA
chr22	281785	705543	2	7	NA
chr22	835772	835774	3	1	NA
chr22	887558	887560	2	1	NA
chr22	1097141	1097143	2	1	NA
chr22	1211711	1211713	4	1	NA
chr22	1296869	1766980	2	12	NA
chr22	1803369	1803371	3	1	NA
chr22	1828991	2506605	2	19	NA
chr22	2511691	2511693	3	1	NA
chr22	2661662	3229422	2	10	NA
chr22	3375314	3375316	3	1	NA
chr22	3408193	3408195	2	1	NA
chr22	3424741	3424743	3	1	NA
chr22	3424749	3424751	3	1	NA
chr22	3458306	3580010	2	4	NA
chr22	3580086	3580088	3	1	NA
chr22	3580168	3580170	2	1	NA
chr22	3829647	3829649	1	1	NA
chr22	5199812	5199814	1	1	NA
chr22	6342387	6342389	19	1	NA
chr22	7019888	7019890	1	1	NA
chr22	7019966	7019968	1	1	NA
chr22	8977203	8977205	2	1	NA
chr22	8977204	8977206	2	1	NA
chr22	10421656	10421658	1	1	NA
chr22	10636610	10636612	1	1	NA
chr22	10636619	10636621	1	1	NA
chr22	11313396	11313398	1	1	NA
chr22	11502465	11502467	1	1	NA
chr22	12785837	12785839	1	1	NA
chr22	13036332	13036334	1	1	NA
chr22	13857865	13857867	1	1	NA
chr22	14959163	14959165	1	1	NA
chr22	15559938	15559940	1	1	NA
chr22	16401838	16401840	1	1	NA
chr22	16407017	16407019	1	1	NA
chr22	17039429	17039431	1	1	NA
chr22	17552558	17552560	1	1	NA
chr22	18250641	18250643	1	1	NA
chr22	18250643	18250645	1	1	NA
chr22	18347052	18347054	1	1	NA
chr22	19593912	19593914	1	1	NA
chr22	20137871	20137873	1	1	NA
chr22	22026816	22026818	1	1	NA
chr22	23492572	23492574	19	1	NA
chr22	23515327	23515329	2	1	NA
chr22	23610859	23610861	19	1	NA
chr22	23643955	23643957	1	1	NA
chr22	25329441	25329443	1	1	NA
chr22	26401917	26401919	1	1	NA
chr22	26656852	26656854	1	1	NA
chr22	27018321	27018370	1	3	NA
chr22	27019204	27019206	2	1	NA
chr22	27141881	27141883	1	1	NA
chr22	27194274	27194276	1	1	NA
chr22	27590844	27590846	1	1	NA
chr22	28299228	28299230	1	1	NA
chr22	28597834	28597836	1	1	NA
chr22	29254706	29335901	1	4	NA
chr22	29446608	30317773	3	33	NA
chr22	30467868	30467870	1	1	NA
chr22	30512076	30786020	3	6	NA
