chrom	start	end	pop	theta_pi	theta_w	nsites	D	D_dmin	Dprime	theta_H	H	H_hmin	Hprime	E	E_Emin	Eprime
chr10	10248891	10249557	Plat	0.224615	0.524115	15	-1.335063	-0.808871	-0.808871	0.080000	0.471502	0.170909	0.144615	-1.018580	-0.917375	-0.917375
chr10	10248891	10249557	Pmex	0.442105	0.281870	15	1.208282	0.881047	0.655505	0.736842	-1.397097	-0.327485	-0.327485	1.638079	1.984716	0.633551
chr10	10249900	10250676	Plat	1.489231	2.096459	33	-0.952519	-0.409992	-0.409992	0.520000	1.229510	0.221053	0.244755	-1.173107	-0.831264	-0.831264
chr10	10249900	10250676	Pmex	0.873684	0.845609	33	0.099380	0.051457	0.038284	0.526316	0.849375	0.128655	0.244444	-0.504444	-0.464282	-0.464282
chr10	13361683	13364418	Plat	1.701538	2.620574	33	-1.192987	-0.496415	-0.496415	1.720000	-0.019692	-0.003529	-0.003529	-0.548787	-0.378301	-0.378301
chr10	13361683	13364418	Pmex	0.442105	0.281870	33	1.208282	0.881047	0.655505	0.315789	0.598756	0.140351	0.266667	0.122125	0.147968	0.047234
chr10	13364605	13365291	Pmex	0.100000	0.281870	2	-1.371416	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr10	13365451	13367879	Plat	1.369231	0.786172	14	1.962070	1.049794	0.753473	0.840000	1.338090	0.299130	0.357588	0.090920	0.076225	0.044346
chr10	13365451	13367879	Pmex	1.100000	0.845609	14	0.900479	0.466252	0.346895	1.157895	-0.141563	-0.034056	-0.034056	0.493374	0.421811	0.270520
chr10	13368108	13369741	Plat	0.153846	0.524115	11	-1.650527	-1.000000	-1.000000	1.000000	-2.758787	-1.000000	-1.000000	1.091446	0.983001	1.000000
chr10	13368108	13369741	Pmex	0.468421	0.845609	11	-1.335147	-0.691315	-0.691315	0.894737	-1.042415	-0.609023	-0.609023	0.077616	0.061954	0.318205
chr10	13369866	13370242	Pmex	1.010526	0.563739	4	2.125392	1.228317	0.913876	1.052632	-0.132977	-0.023392	-0.023392	1.065102	1.066342	0.340392
chr10	13370395	13371635	Plat	0.744615	1.048230	29	-0.826840	-0.409992	-0.409992	0.800000	-0.115736	-0.032727	-0.032727	-0.333364	-0.256375	-0.256375
chr10	13370395	13371635	Pmex	1.831579	1.973087	29	-0.253155	-0.111154	-0.111154	2.105263	-0.369806	-0.063647	-0.063647	0.100653	0.077299	0.043667
chr10	13371797	13377236	Plat	2.707692	3.668803	82	-0.929084	-0.370816	-0.370816	3.280000	-0.464740	-0.064138	-0.064138	-0.174055	-0.118944	-0.118944
chr10	13371797	13377236	Pmex	7.368421	8.737958	82	-0.629184	-0.242914	-0.242914	9.684211	-0.900794	-0.129374	-0.129374	0.176882	0.123974	0.077169
chr10	13379396	13381752	Plat	2.049231	2.096459	32	-0.074084	-0.031888	-0.031888	2.640000	-0.749415	-0.109714	-0.109714	0.404471	0.292784	0.139243
chr10	13379396	13381752	Pmex	0.947368	0.563739	32	1.824946	1.054682	0.784691	1.368421	-1.329773	-0.233918	-0.233918	1.753082	1.755123	0.560262
chr10	13382092	13383208	Plat	0.560000	0.786172	14	-0.761099	-0.407222	-0.407222	0.280000	0.707943	0.158261	0.189189	-0.854973	-0.716783	-0.716783
chr10	13382092	13383208	Pmex	1.342105	0.845609	14	1.757468	0.909986	0.677036	0.421053	2.252132	1.315789	0.603448	-0.670747	-0.535395	-0.535395
chr10	13383396	13384073	Plat	0.910769	1.310287	10	-0.916779	-0.431598	-0.431598	0.440000	0.843100	0.291429	0.186813	-0.971812	-0.707385	-0.707385
chr10	13384138	13394204	Plat	3.320000	4.979090	68	-1.217077	-0.471660	-0.471660	3.240000	0.050164	0.006933	0.008547	-0.584884	-0.390010	-0.390010
chr10	13384138	13394204	Pmex	1.642105	2.536827	68	-1.287560	-0.546619	-0.546619	3.473684	-2.040871	-0.359133	-0.359133	0.567555	0.421811	0.270520
