chr	start	end	group	NA
chr8	1721897	1721899	1	1
chr8	1783584	1783586	6	1
chr8	2222818	2222820	3	1
chr8	3231814	3231816	4	1
chr8	3372234	3372236	18	1
chr8	3398805	3398807	1	1
chr8	4615837	4615839	1	1
chr8	5246629	5246631	4	1
chr8	5364050	5364052	1	1
chr8	6261313	6261315	1	1
chr8	6378812	6378814	1	1
chr8	6492786	6492788	3	1
chr8	6492789	6492791	3	1
chr8	6805977	6805979	2	1
chr8	8289413	8289415	2	1
chr8	12244514	12244516	1	1
chr8	12839150	12839152	1	1
chr8	23335270	23335272	2	1
chr8	23364720	23364722	1	1
chr8	25283227	25283229	1	1
