chr	start	end	nSNPs	anc	intSize
chr1	54375	54377	1	plat	2
chr1	54631	54633	1	pmex	2
chr1	56736	56738	1	pmex	2
chr1	58131	58133	1	plat	2
chr1	64249	64251	1	plat	2
chr1	74435	74437	1	plat	2
chr1	74486	74488	1	plat	2
chr1	75020	75022	1	pmex	2
chr1	75030	75032	1	pmex	2
chr1	75037	75216	18	pmex	179
chr1	75226	75380	5	pmex	154
chr1	76148	76150	1	plat	2
chr1	76149	76151	1	plat	2
chr1	78731	78733	1	plat	2
chr1	80365	80367	1	pmex	2
chr1	84154	84156	1	plat	2
chr1	84465	84467	1	pmex	2
chr1	84517	84519	1	pmex	2
chr1	84953	84955	1	plat	2
chr1	88444	88541	6	pmex	97
chr1	89222	89224	1	pmex	2
chr1	89278	89280	1	pmex	2
chr1	89481	89561	6	pmex	80
chr1	89568	89570	1	pmex	2
chr1	89591	89834	9	pmex	243
chr1	90232	90234	1	pmex	2
chr1	92782	92784	1	plat	2
chr1	94963	94965	1	plat	2
chr1	95447	95449	1	plat	2
chr1	96231	96233	1	plat	2
chr1	96489	96491	1	plat	2
chr1	96995	97048	11	pmex	53
chr1	98001	98019	4	pmex	18
chr1	99024	99026	1	plat	2
chr1	99272	99274	1	plat	2
chr1	101076	101078	1	plat	2
chr1	101293	101295	1	plat	2
chr1	104261	104263	1	plat	2
chr1	106437	106439	1	pmex	2
chr1	106463	106561	6	pmex	98
chr1	106574	106666	10	pmex	92
chr1	106674	106676	1	pmex	2
chr1	106703	106707	3	pmex	4
chr1	116834	116836	1	plat	2
chr1	117517	117519	1	plat	2
chr1	118279	118281	1	plat	2
chr1	119507	119509	1	pmex	2
chr1	120021	120023	1	pmex	2
chr1	120080	120082	1	pmex	2
chr1	127750	127752	1	pmex	2
chr1	127807	127809	1	pmex	2
chr1	127825	127827	1	pmex	2
chr1	128343	128345	1	plat	2
chr1	128824	128826	1	pmex	2
chr1	128825	128827	1	pmex	2
chr1	128831	128886	4	pmex	55
chr1	128964	128990	6	pmex	26
chr1	129037	129100	3	pmex	63
chr1	130188	130190	1	plat	2
chr1	130945	130947	1	plat	2
chr1	132725	132727	1	plat	2
chr1	133092	133094	1	plat	2
chr1	133259	133261	1	plat	2
chr1	134734	134736	1	plat	2
chr1	135502	135504	1	plat	2
chr1	135649	135651	1	plat	2
chr1	135660	135662	1	plat	2
chr1	135770	135772	1	plat	2
chr1	137827	137829	1	plat	2
chr1	139585	139587	1	plat	2
chr1	140694	140696	1	pmex	2
chr1	140943	140945	1	pmex	2
chr1	141007	141009	1	pmex	2
chr1	141018	141020	1	plat	2
chr1	141395	141397	1	plat	2
chr1	141402	141404	1	plat	2
chr1	143341	143346	3	pmex	5
chr1	144175	144177	1	plat	2
chr1	144705	144707	1	plat	2
chr1	146074	146076	1	pmex	2
chr1	148742	148744	1	plat	2
chr1	150181	150183	1	plat	2
chr1	151935	151937	1	plat	2
chr1	155251	155253	1	plat	2
chr1	157628	157630	1	pmex	2
chr1	158398	158400	1	plat	2
chr1	158896	158898	1	plat	2
chr1	166782	166784	1	pmex	2
chr1	166783	166785	1	pmex	2
chr1	166932	166934	1	pmex	2
chr1	166937	166939	1	pmex	2
chr1	167677	167679	1	plat	2
chr1	171303	171305	1	plat	2
chr1	174549	174551	1	pmex	2
chr1	174604	174635	3	pmex	31
chr1	175475	175477	1	plat	2
chr1	179910	179912	1	plat	2
chr1	181984	181986	1	plat	2
chr1	185998	186000	1	plat	2
chr1	186925	186927	1	plat	2
chr1	189274	189276	1	plat	2
chr1	189606	189608	1	plat	2
chr1	190007	190009	1	plat	2
chr1	193545	193557	6	pmex	12
chr1	193560	193562	1	pmex	2
chr1	193565	193584	8	pmex	19
chr1	193585	193587	1	pmex	2
chr1	193589	193595	3	pmex	6
chr1	193595	193609	5	pmex	14
chr1	200300	200302	1	plat	2
chr1	200301	200303	1	plat	2
chr1	201051	201053	1	plat	2
chr1	201209	201211	1	plat	2
chr1	201810	201812	1	pmex	2
chr1	202801	202803	1	plat	2
chr1	203179	203181	1	plat	2
chr1	204049	204051	1	plat	2
chr1	204181	204183	1	plat	2
chr1	204187	204189	1	plat	2
chr1	204673	204675	1	plat	2
chr1	205339	205341	1	plat	2
chr1	207289	207291	1	plat	2
chr1	207612	207614	1	plat	2
chr1	209202	209204	1	plat	2
chr1	209379	209381	1	pmex	2
chr1	209403	209405	1	pmex	2
chr1	209444	209446	1	pmex	2
chr1	211539	211577	5	plat	38
chr1	211582	211584	1	plat	2
chr1	211628	211640	3	pmex	12
chr1	211720	211722	1	pmex	2
chr1	211784	211797	3	pmex	13
chr1	212046	212048	1	pmex	2
chr1	212066	212068	1	pmex	2
chr1	212154	212156	1	pmex	2
chr1	212229	212303	5	pmex	74
chr1	212417	212419	1	pmex	2
chr1	212558	212741	9	pmex	183
chr1	212841	212854	3	pmex	13
chr1	213012	213014	1	pmex	2
chr1	213025	213027	1	pmex	2
chr1	213062	213064	1	pmex	2
chr1	213119	213121	1	pmex	2
chr1	213131	213133	1	pmex	2
chr1	213292	213294	1	pmex	2
chr1	213335	213337	1	pmex	2
chr1	213347	213349	1	pmex	2
chr1	213370	213372	1	plat	2
chr1	213384	213386	1	pmex	2
chr1	213387	213389	1	plat	2
chr1	213476	213478	1	plat	2
chr1	213480	213482	1	plat	2
chr1	213586	213588	1	pmex	2
chr1	213732	213734	1	plat	2
chr1	213747	213749	1	plat	2
chr1	213769	213833	3	plat	64
chr1	213864	213885	3	plat	21
chr1	213924	213943	4	plat	19
chr1	214044	214086	3	plat	42
chr1	214146	214148	1	plat	2
chr1	214178	214235	5	plat	57
chr1	214238	214263	4	plat	25
chr1	214291	214293	1	plat	2
chr1	214299	214301	1	plat	2
chr1	214426	214428	1	pmex	2
chr1	214444	214446	1	plat	2
chr1	214508	214533	3	plat	25
chr1	214578	214580	1	plat	2
