chr	start	end	group	nSNPS	samps
chr14	2844935	2844937	7	1	NA
chr14	3056973	3056975	13	1	NA
chr14	6898724	6898726	4	1	NA
chr14	6898726	6898728	4	1	NA
chr14	6899150	6899152	3	1	NA
chr14	7107169	7107175	3	3	NA
chr14	7237660	7237662	6	1	NA
chr14	9738609	9738611	1	1	NA
chr14	9742157	9742159	1	1	NA
chr14	9828450	9828452	3	1	NA
chr14	9888672	9888674	1	1	NA
chr14	9894249	9894251	1	1	NA
chr14	9974552	9974554	1	1	NA
chr14	10291239	10291241	1	1	NA
chr14	13072070	13072072	2	1	NA
chr14	14758537	14758539	1	1	NA
chr14	16198054	16198056	7	1	NA
chr14	16198055	16198057	7	1	NA
chr14	16534081	16534083	1	1	NA
chr14	16612014	16612016	2	1	NA
chr14	16796435	16796437	3	1	NA
chr14	18503348	18503350	4	1	NA
chr14	19724927	19724929	1	1	NA
chr14	20462900	20462902	16	1	NA
chr14	21829397	21829399	3	1	NA
chr14	24293138	24293140	1	1	NA
chr14	25144583	25144585	8	1	NA
chr14	26943676	26943678	5	1	NA
chr14	27425415	27425417	1	1	NA
chr14	27696123	27696125	2	1	NA
