chrom	start	end	pop	theta_pi	theta_w	nsites	D	D_dmin	Dprime	theta_H	H	H_hmin	Hprime	E	E_Emin	Eprime
chr10	3084066	3084205	Plat	0.212308	0.262057	2	-0.344209	-0.268722	-0.268722	0.120000	0.450796	0.100000	0.192308	-0.524795	-0.639733	-0.639733
chr10	3084273	3085365	Plat	0.076923	0.262057	18	-1.280912	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr10	3084273	3085365	Pmex	0.715789	0.845609	18	-0.459527	-0.237935	-0.237935	1.263158	-1.338410	-0.202729	-0.202729	0.659677	0.607155	0.193813
chr10	3085399	3088975	Plat	1.212308	1.572344	47	-0.715047	-0.324122	-0.324122	0.640000	0.899532	0.161739	0.193347	-0.891777	-0.660140	-0.660140
chr10	3085399	3088975	Pmex	0.957895	1.127478	47	-0.480720	-0.233112	-0.233112	1.421053	-0.934766	-0.178138	-0.178138	0.364980	0.302784	0.156780
chr10	3089111	3090422	Plat	0.836923	1.310287	20	-1.086235	-0.511373	-0.511373	0.400000	0.782485	0.167059	0.176179	-1.016478	-0.764763	-0.764763
chr10	3089111	3090422	Pmex	0.568421	0.845609	20	-0.981173	-0.508034	-0.508034	0.315789	0.617728	0.093567	0.177778	-0.837050	-0.770406	-0.770406
chr10	3090581	3091738	Plat	0.147692	0.262057	11	-0.791272	-0.617741	-0.617741	0.080000	0.330583	0.073333	0.141026	-0.672565	-0.819866	-0.819866
chr10	3092249	3093826	Pmex	0.378947	0.563739	16	-0.879065	-0.508034	-0.508034	1.052632	-2.127637	-0.374269	-0.374269	1.065102	1.066342	0.340392
chr10	3093863	3099138	Plat	0.424615	0.786172	20	-1.216686	-0.650981	-0.650981	1.160000	-1.859323	-0.415652	-0.415652	0.631431	0.529372	0.307974
chr10	3093863	3099138	Pmex	0.584211	0.563739	20	0.097383	0.056280	0.041873	0.368421	0.681509	0.119883	0.227778	-0.425521	-0.426016	-0.426016
chr10	3099271	3112316	Plat	1.412308	2.620574	44	-1.568433	-0.652643	-0.652643	3.680000	-2.418846	-0.363951	-0.363951	0.645588	0.452635	0.241910
chr10	3099271	3112316	Pmex	1.982731	2.254957	44	-0.434154	-0.188542	-0.188542	1.501548	0.587447	0.114871	0.121995	-0.508362	-0.379435	-0.379435
chr10	3124825	3128526	Plat	1.372308	1.310287	40	0.142320	0.067001	0.048089	1.240000	0.236950	0.036596	0.054224	-0.078486	-0.061104	-0.061104
chr10	3124825	3128526	Pmex	1.757895	1.409348	40	0.825902	0.383293	0.285173	1.210526	0.945721	0.156391	0.226087	-0.204014	-0.165848	-0.165848
chr10	3128544	3145996	Plat	2.803077	4.979090	138	-1.596282	-0.618616	-0.618616	4.080000	-0.800699	-0.149550	-0.149550	-0.302379	-0.196347	-0.196347
chr10	3128544	3145996	Pmex	4.931579	4.509914	138	0.361125	0.147440	0.107426	3.736842	0.832082	0.162549	0.150066	-0.273278	-0.191533	-0.191533
chr10	3146078	3147136	Plat	0.076923	0.262057	10	-1.280912	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr10	3146078	3147136	Pmex	0.468421	0.845609	10	-1.335147	-0.691315	-0.691315	0.157895	0.759290	0.443609	0.203448	-1.086505	-0.867256	-0.867256
chr10	3147200	3148921	Plat	0.520000	0.262057	14	1.784660	1.393273	1.000000	0.520000	0.000000	0.000000	0.000000	0.952904	1.161603	0.349543
chr10	3147200	3148921	Pmex	0.873684	0.563739	14	1.474426	0.852108	0.633974	1.157895	-0.897597	-0.157895	-0.157895	1.294429	1.295936	0.413682
chr10	3148987	3149589	Plat	0.470769	0.262057	7	1.444041	1.127354	0.809141	0.360000	0.540955	0.120000	0.230769	0.361824	0.441069	0.132724
chr10	3148987	3149589	Pmex	0.436842	0.563739	7	-0.603657	-0.348868	-0.348868	0.210526	0.714753	0.282895	0.226316	-0.769511	-0.691073	-0.691073
chr10	3149707	3152587	Plat	1.510769	2.096459	36	-0.918733	-0.395449	-0.395449	0.800000	0.901641	0.162105	0.179487	-0.964748	-0.683621	-0.683621
chr10	3149707	3152587	Pmex	1.021053	1.127478	36	-0.301686	-0.146294	-0.146294	1.105263	-0.169958	-0.032389	-0.032389	-0.027619	-0.022912	-0.022912
chr10	3152667	3152760	Plat	0.153846	0.524115	3	-1.650527	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr10	3152667	3152760	Pmex	0.394737	0.281870	3	0.851093	0.620594	0.461726	0.263158	0.623704	0.146199	0.277778	-0.067369	-0.081626	-0.081626
chr10	3152872	3155473	Plat	1.510769	2.096459	41	-0.918733	-0.395449	-0.395449	0.760000	0.952382	0.221818	0.187692	-0.994513	-0.690156	-0.690156
chr10	3152872	3155473	Pmex	0.626316	0.845609	41	-0.776240	-0.401924	-0.401924	1.315789	-1.685881	-0.255361	-0.255361	0.742828	0.683686	0.218243
chr10	3155924	3162053	Plat	0.076923	0.262057	23	-1.280912	-1.000000	-1.000000	NA	NA	NA	NA	NA	NA	NA
chr10	3155924	3162053	Pmex	0.268421	0.281870	23	-0.101411	-0.073946	-0.073946	0.157895	0.523911	0.122807	0.233333	-0.446358	-0.540813	-0.540813
chr10	3162129	3164303	Plat	0.756923	0.786172	10	-0.098427	-0.052663	-0.052663	0.440000	0.801298	0.179130	0.214137	-0.584718	-0.490209	-0.490209
chr10	3162129	3164303	Pmex	0.394737	0.281870	10	0.851093	0.620594	0.461726	0.789474	-1.871112	-0.438596	-0.438596	1.827573	2.214310	0.706841
chr10	3164647	3168089	Plat	0.486154	0.524115	12	-0.169216	-0.102523	-0.102523	0.280000	0.672141	0.243636	0.206154	-0.559879	-0.504250	-0.504250
chr10	3168161	3199321	Plat	5.781538	6.289377	157	-0.300291	-0.114295	-0.114295	5.800000	-0.009439	-0.001076	-0.001076	-0.131825	-0.088505	-0.088505
chr10	3168161	3199321	Pmex	2.336842	1.973087	157	0.650749	0.285727	0.212582	1.526316	1.095195	0.152929	0.240625	-0.340220	-0.269578	-0.269578
chr10	3199499	3215518	Plat	6.470769	6.289377	153	0.107259	0.040824	0.029301	5.520000	0.486113	0.085241	0.079496	-0.207250	-0.133355	-0.133355
