chr	start	end	group	NA
chr7_24	1968196	3281286	2	10
chr7_24	3783531	3783533	1	1
chr7_24	8608949	8608951	4	1
chr7_24	8664481	8664483	2	1
chr7_24	10610176	10610178	1	1
chr7_24	18767325	18767327	1	1
chr7_24	19654349	19654351	7	1
chr7_24	22622601	22622603	1	1
chr7_24	29205600	29205602	1	1
chr7_24	29803628	29803630	1	1
chr7_24	30665549	30665551	6	1
chr7_24	30666518	30666520	6	1
chr7_24	30785873	30785875	2	1
chr7_24	30794112	30794114	6	1
chr7_24	30811566	30811568	9	1
chr7_24	31314456	31314458	12	1
chr7_24	36734290	36734292	1	1
chr7_24	36770109	36770111	1	1
chr7_24	36955028	36955030	2	1
chr7_24	39692443	39692445	4	1
